customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Predicted_Purchases_6M,Predicted_Avg_Monetary,CLV_6M
004440537b68545ca3c341d7279bc4c0,1,2,196.08,5,5,4,554,Gold,0.0081971332529525,211.79526067848772,1.736113974125394
00581d55862aecc8cbc7d701a27bc285,154,2,575.08,4,5,5,455,Gold,0.0234167951979522,617.272389790763,14.454541133080818
00624707c8556199de70cac1593e7088,70,2,298.62,5,5,5,555,Gold,0.0134987217860899,321.4987562435872,4.339822265106124
006431d77c665533ac99b501d8a6ab06,137,2,473.12,4,5,5,455,Gold,0.0210446728104044,508.1894133150701,10.694679928927048
00791d8bb3acb245dc0b865656e18fff,9,2,256.8,5,5,5,555,Gold,0.0087052954292013,276.75719017637,2.4092531026409527
007da0ded5420c2ac9cdcdc758841cde,162,2,596.56,4,5,5,455,Gold,0.0246043738626505,640.2529933087884,15.75302401405052
0096dd625383caa8afe2c028018bf4ce,141,2,521.37,4,5,5,455,Gold,0.0215847178789279,559.8101823907094,12.083344852654662
0097c5abeb126a90646370f4a1cf3d93,86,6,297.36,5,5,5,555,Gold,0.0128002360804551,304.61883988727925,3.899193065111552
009c825b4f96c0c03731ac38b6e1c6ea,94,2,297.08,5,5,5,555,Gold,0.0158950641839297,319.85117107516265,5.084054893544815
00b2b9682f5c2a1f7cf1312ce6a0ea9d,27,2,286.82,5,5,5,555,Gold,0.0099441650200292,308.87440235565884,3.07149802748759
00ca6e4277e535d41bda84d371310be2,70,3,747.1500000000001,5,5,5,555,Gold,0.016017847305002,782.4697064607973,12.53348027887881
00f394e6fc446865ac4097b6db69ef4a,29,5,1449.5,5,5,5,555,Gold,0.0085967410063901,1489.1499439991703,12.801836388241252
00fb765118b6d3b18dfc763dc3729a5b,64,2,198.22,5,5,4,554,Gold,0.0129481893512942,214.0847621462985,2.7720100374970658
010714eb89c36dd92fee08385cc1dd6b,42,2,438.88,5,5,5,555,Gold,0.0110841558534496,471.5573898300983,5.226815602722737
011b97b83f521e755f03173c96baf57b,104,2,184.78,4,5,4,454,Gold,0.0169903023413959,199.70583704004787,3.393062550651954
011f5f2d716eb919dd944494c0db328b,24,2,168.68,5,5,4,554,Gold,0.0097281717183102,182.4810830065185,1.775207310830646
012938ae26ceaa758b735826636366f8,138,2,535.0,4,5,5,455,Gold,0.021178658759531,574.3923809917657,12.164860231099128
0129ed0b91663e92e982965f3a6245f6,36,2,244.0,5,5,5,555,Gold,0.0106159376534854,263.0629757894646,2.792660149921298
013e5c6a0f2d8fef75ebb90f05b0ca59,136,2,329.32,4,5,5,455,Gold,0.0209113664580189,354.34347356218046,7.409806227666103
0145ffd2fcca22ddeebbcd95f7ad890e,112,4,267.84000000000003,4,5,5,455,Gold,0.0223319915904655,277.85441889215275,6.20504254607324
01514a0b29d64250fc301b3413aa0ba3,39,2,217.76,5,5,4,554,Gold,0.0108479732807716,234.98983629630865,2.549163465395256
0155478730861c69019d0a41d9bc98f6,142,2,478.68,4,5,5,455,Gold,0.0217214459126557,514.1378376893822,11.167817233019704
01621ab81b760e6e48e8eb3a300c77bf,82,3,948.6,5,5,5,555,Gold,0.0176200407847454,993.088460235506,17.498259172209714
016890b20bac6cd8155fb02cd3ec3e44,59,2,977.1,5,5,5,555,Gold,0.012503546786798,1047.3777075894882,13.095936170294456
0179f2f4c32e0b0c2a4cb0d57e7d5a26,111,6,7849.08,4,5,5,455,Gold,0.016865537369692,8024.368715050783,135.33529043187636
0192b93a11b1f588d6f19888b82d02bf,172,2,373.2,4,5,5,455,Gold,0.0261555051264451,401.2889522572903,10.495915247951372
01952039ba4abb6c459e7b6d62a69d7a,12,2,186.56,5,5,4,554,Gold,0.0089024330899589,201.6101887282269,1.7948212154070282
0197df52c22d6ef0aa52ffb63ac80404,78,2,564.62,5,5,5,555,Gold,0.0142623175139278,606.0816489714638,8.64412891699598
